iteration,removed_column,all_columns,columns_count,current_result,best_result
74,7_KSXMDM,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
75,6_total_papers,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
76,26_GJPYLX,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
77,7_SFTG,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
78,34_FKYLCG_SXSJYYJSHD,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
79,10_total_journals,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
80,34_QTRCXX_MRSWSC,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
81,30_total_deed,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
82,34_KYLCG_ZZ,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
83,18_total_nourish,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
84,34_QTRCXX_DYCXMCS,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
85,33_PJNJPM,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
86,33_PJCJ,"SID, GRADE, 34_KYLCG_QTKYCG, BIRTHDAY, 34_QTRCXX_DYSWSC, 9_GGPA, 33_PJBJPM, 33_PJCJ, 33_PJNJPM, 34_QTRCXX_DYCXMCS, 18_total_nourish, 34_KYLCG_ZZ, 30_total_deed, 34_QTRCXX_MRSWSC, 10_total_journals, 34_FKYLCG_SXSJYYJSHD, 7_SFTG, 26_GJPYLX, 6_total_papers, 7_KSXMDM, 7_total_level46, 31_total_project, 29_total_test, 21_total_otherAchievement, 34_KYLCG_KYXM, 34_GJHPYCG_GJHY, 32_BRSFZYWCR, 20_total_paper2, 2_UGGPA, 34_JCQK_GRXJSJJBD, 12_total_books, 34_KYLCG_ZL, 13_total_patents, 11_total_conference, 16_total_paperAward, 5_total_ugscholarship, 17_total_hlConference, 22_total_patent, 5_JXJDM, 27_total_practice, 34_JCQK_HJYRYCH, 34_FKYLCG_JNRZ, 10_TYCS, 34_FKYLCG_QTFKYCG, 4_total_gscholarship, 34_KYLCG_LW, 28_total_skill, 34_GJHPYCG_GJXM, 15_total_activity, 24_ZZBRJS, 24_total_book2, 26_total_nourish2, 24_YZ, 5_JXJDJDM, 10_YXYZ, 25_total_iconference, 34_KCXX_YXKCSL, 23_total_volunteer, 32_total_nresearch, 34_XSGZYJZGW_YJSJRFDY, 34_KCXX_YXKCXF, 23_FWSC(H), 12_BRZXZS, 34_KCXX_XWKPJF, 14_total_awards, 34_XSGZYJZGW_ZY, 36_KQYNL, 36_GTBD, 34_QTRCXX_YKTYE, 20_GXD, 34_QTRCXX_DYJRTSGCS, 20_YXYZ, 36_TDHZ, 36_ZHNL, 34_JZXX_ZYJT, 36_KJNL, 36_XSJL, 36_ZZGL, 36_YJNL, 36_WYSP, 36_XSZYNL, 36_SJNL, 36_ZSJC, 36_GJSY, 34_QTRCXX_DYYKTXFCS, 34_XSGZYJZGW_ZG, 31_XMJF, 34_FKYLCG_ZYFW, 7_CJ, 4_JXJJE, 34_JZXX_QTBZ, 24_GRZXZS, 5_JE",93,0.681,0.722
